review,sentiment,prob_negative,prob_neutral,prob_positive
"At first I thought this medication was going to be a disaster because the first ten days were rough with nausea and fatigue, but from week three onward my symptoms improved steadily and now I can function close to normal most days, so despite a difficult start I would stay on it.",Negative,0.6247482021413826,0.27046539685231746,0.10478640100629984
"This treatment looked promising in the beginning, but by the second month the benefits faded while headaches and irritability increased, and overall I would not choose this medication again.",Negative,0.5732377274830123,0.10224601631567595,0.3245162562013118
"The medicine gives me moderate relief during the day but wears off at night; side effects are mild and tolerable, so I would describe the outcome as acceptable but not impressive.",Neutral,0.054161050952708074,0.5343617856552265,0.4114771633920654
"I noticed no meaningful improvement after several weeks, and although there were no severe adverse reactions, I still felt unwell and disappointed with the overall result.",Negative,0.8738904741891156,0.08673707900783169,0.03937244680305267
"My pain episodes dropped from several times a week to about once every ten days, sleep quality improved, and side effects became minimal after the first week, so this has been a very positive change for me.",Positive,0.29604958011792415,0.14094571538207548,0.5630047045000003
"It is not completely ineffective, but it is not consistently helpful either, and I never felt clearly better for more than a couple of days.",Negative,0.6418301306667135,0.2342002978192454,0.12396957151404112
"After one month the medication started working reliably, my anxiety reduced, and I could return to normal routines with only minor dry mouth.",Positive,0.3194154579545196,0.0931447088939061,0.5874398331515743
"I followed the instructions carefully, yet the drug made me restless and unable to focus, and the original symptoms did not improve enough to justify continuing.",Negative,0.988325301186546,0.008072830712113203,0.0036018681013407525
"There are both pros and cons: fewer severe symptoms, but persistent afternoon fatigue and occasional dizziness, so I am still undecided.",Positive,0.1898355710214975,0.18984445941795305,0.6203199695605495
"For me this was a lifesaver because the condition that used to control my entire week is now manageable, and my quality of life is much better.",Positive,0.0002531819162054286,0.0007830719479867369,0.9989637461358079
